tweet_id,russian,english,sentiment
0,@HelgaSko @Elena_Bers @space2340 @kenecec Путин это ваш бог и вы на него молитесь постоянно. Больше чем от ваших папуасов я о Путине ни от кого не слышу.,"@Helgasko @elena_bers @ Space2340 @kenecec Putin is your God and you pray at him all the time. More than your Papuans, I can't hear from anyone. ",negative
1,"Путин упростил въезд в Россию с территорий ДНР, ЛНР и Украины https://t.co/79KqRgHod8","Putin simplified entry into Russia from the territories of the DNR, LNR and Ukraine https://t.co/79kqrghod8 ",positive
2,а ну и еще: во всем виноват Путин🤡,And also: in everything is to blame Putin,negative
3,"Есть три причины, почему Путин не сможет победить в этой войне:

– у Украины есть Зеленский;
– у Украины есть Папич;
– у Украины есть Симпл.

О чём он вообще думал, когда нападал на эту страну?",There are three reasons why Putin will not be able to defeat in this war:  - Ukraine has Zelensky;  - Ukraine has a papic;  - Ukraine has a symple.  What did he at all think when attacked this country?,negative
4,@Filina_Olga_ Вы о чем ? Путин изначально назвал операцию ДЕНАЦИФИКАЦИЕЙ И ДЕМИЛИТАРИЗАЦИЕЙ …,@Filina_olga_ What are you talking about? Putin initially called the operation with denazification and demilitarization ...,neutral
5,"@Dibbuk1561 Очень даже возможно, сталин загнал в армию 30 миллионов человек, ну допустим путин загонет 15, тоже не мало.","@ DIBBUK1561 It is very possible that Stalin drove 30 million people into the army, well, let's say Putin will drive 15, not enough. ",neutral
6,"Кикабидзе. Умерший Путин, деморализованная Россия, россияне бегут в Груз... https://t.co/Y6P3M4eTen через @YouTube","Kikabidze. Die Putin, demoralized Russia, Russians are fleeing ... https://t.co/y6p3m4ten via @youtube ",negative
7,"Да, можно будет снять наличные в специальном банкомате, если Владимир Путин не установит вам лимит на снятие валюты (а он обязательно установит). Да и какие иностранные поездки, если все у кого в России бизнес или работа за неделю обнищали.","Yes, it will be possible to take off cash in a special ATM, if Vladimir Putin will not set you a limit on the removal of the currency (and it will definitely establish). And what are foreign trips, if all who in Russia has a business or work for a week reincarnated. ",negative
8,"@discoFBK Ну да. Война только усилится.
Запад сделал путинской пропаганде подарок.
Западные политики поступают так из соображений популизма и чтобы скрыть свои ошибки.
Санкции против населения не работают; исключение Иран, но Путин не уступит никогда; Путин скорее начнет Ядерную Войну.","@Discofbk Well, yes. War will only increase.  West made Putin's propaganda gift.  Western politicians come so for reasons of populism and to hide their mistakes.  Sanctions against the population do not work; The exception of Iran, but Putin will never give way; Putin will rather begin a nuclear war. ",negative
9,"@channelone_rus Цинизм российских властей зашкаливает. Путин, в 2014 водя войска в Донецкую и Луганскую области, мотивировал это защитой русско-говорящего населения. В результате этой ""защиты"" десятки тысяч погибших.","@channelone_rus cynicism of the Russian authorities offshore. Putin, in 2014, leading troops to the Donetsk and Lugansk regions, motivated this protection of the Russian-speaking population. As a result of this ""protection"" tens of thousands of dead. ",negative
